noise_type,alpha,contrast,noise_mult,PC_mean,PC_sem,dPC_mean,dPC_sem
pink,1.0,0.04,0.0,0.5122634991496599,0.001341069091328045,0.0,0.0
pink,1.0,0.04,0.25,0.5115460246598639,0.0023043445126988004,-0.0007174744897959105,0.002325649989402818
pink,1.0,0.04,0.5,0.5137914540816326,0.0028451609701060504,0.001527954931972794,0.0032493776860115582
pink,1.0,0.04,0.65,0.5137383078231293,0.003061273939175898,0.0014748086734693957,0.0033892803624231914
pink,1.0,0.04,0.75,0.513047406462585,0.0025520178588558824,0.0007839073129251742,0.003163049606433882
pink,1.0,0.04,0.85,0.5192655187074829,0.001841415920360099,0.007002019557823125,0.002485415225951416
pink,1.0,0.04,1.0,0.516953656462585,0.0024013252563240156,0.004690157312925166,0.00272649199419197
pink,1.0,0.04,1.25,0.5177109906462585,0.0026133527666309182,0.005447491496598645,0.0027713144302853286
pink,1.0,0.04,1.5,0.5134194302721089,0.002625244120934493,0.001155931122448983,0.0029920220023261536
pink,1.0,0.04,2.0,0.5089950042517006,0.0023204684936346865,-0.0032684948979591747,0.002648859126302473
